step,epoch,batch,budget,loss,raw_gradient_norm,exceeds_threshold,largest_parameter,largest_parameter_gradient
152,4,8,16,4.869547367095947,5.5786008607046815,False,core.output_head.weight,2.9896187782287598
153,4,9,32,5.319362163543701,5.951806929514214,False,core.fusion.memory_projection.weight,2.8974826335906982
154,4,10,16,5.076340198516846,5.786758657522027,False,core.fusion.memory_projection.weight,2.8186733722686768
155,4,11,32,5.238288402557373,4.349996647098569,False,core.output_head.weight,2.779561996459961
156,4,12,16,5.356420993804932,5.180044136670992,False,core.output_head.weight,2.794591188430786
157,4,13,32,5.255221843719482,4.883794139294084,False,core.output_head.weight,2.7908170223236084
158,4,14,16,5.428462982177734,4.4692210042386495,False,core.output_head.weight,2.8044068813323975
159,4,15,32,5.426581382751465,5.0895065962105415,False,core.output_head.weight,2.809142827987671
160,4,16,16,5.386880874633789,5.257517329419974,False,core.output_head.weight,3.0991568565368652
161,4,17,32,4.918992519378662,4.069827008677771,False,core.output_head.weight,2.727069854736328
162,4,18,16,5.451968669891357,10.81724480220923,False,core.fusion.memory_projection.weight,5.857542037963867
163,4,19,32,5.209891319274902,4.858741524700784,False,core.output_head.weight,2.778907299041748
164,4,20,16,4.9851393699646,5.516115263831643,False,core.output_head.weight,3.076359272003174
165,4,21,32,5.128260612487793,5.5289262879110685,False,core.output_head.weight,2.773653507232666
166,4,22,16,5.061906337738037,5.171840001566838,False,core.output_head.weight,2.7695512771606445
167,4,23,32,5.330984592437744,5.556294903330805,False,core.output_head.weight,2.7849698066711426
168,4,24,16,5.135495185852051,6.534403957515777,False,core.fusion.memory_projection.weight,3.4110679626464844
169,4,25,32,5.137754440307617,6.546989663382162,False,core.recurrent_cell.weight_hh,3.355423927307129
170,4,26,16,4.939749717712402,6.352050537888294,False,core.fusion.memory_projection.weight,3.4392802715301514
171,4,27,32,5.077404022216797,5.154662289985716,False,core.output_head.weight,2.753377676010132
172,4,28,16,5.20634126663208,5.015669360207376,False,core.output_head.weight,2.782477617263794
173,4,29,32,5.170369625091553,9.812364520866227,False,core.recurrent_cell.weight_hh,5.276848793029785
174,4,30,16,5.203903675079346,6.779749290218212,False,core.fusion.memory_projection.weight,3.6637814044952393
175,4,31,32,5.237954139709473,4.797800323138608,False,core.output_head.weight,2.7787280082702637
176,4,32,16,5.078882217407227,8.220486996548065,False,core.fusion.memory_projection.weight,4.444692134857178
177,4,33,32,4.96730375289917,4.9494310708417,False,core.output_head.weight,2.721285820007324
178,4,34,16,5.179981231689453,8.131220112650519,False,core.fusion.memory_projection.weight,4.290534973144531
179,4,35,32,5.479357719421387,17.869346542082063,False,core.recurrent_cell.weight_hh,9.841115951538086
180,4,36,16,5.047077655792236,5.411268154630619,False,core.output_head.weight,2.763669729232788
181,4,37,32,5.15424919128418,6.18536719466197,False,core.fusion.memory_projection.weight,3.126354455947876
182,4,38,16,5.379843711853027,8.468007054074791,False,core.fusion.memory_projection.weight,4.615121364593506
183,4,39,32,4.920178413391113,7.515583716075763,False,core.fusion.memory_projection.weight,4.442043304443359
184,4,40,16,5.121748924255371,4.871148979891701,False,core.output_head.weight,2.7880172729492188
185,4,41,32,4.843143463134766,12.060886867351915,False,core.recurrent_cell.weight_hh,7.148492813110352
186,4,42,16,5.071310043334961,13.395107459898739,False,core.fusion.memory_projection.weight,7.663534164428711
187,4,43,32,5.051506996154785,5.950068301215894,False,core.output_head.weight,3.0068600177764893
188,4,44,16,4.982056140899658,22.982676256603018,False,core.recurrent_cell.weight_hh,13.031009674072266
189,4,45,32,4.948207855224609,5.738279159695775,False,core.output_head.weight,2.9908974170684814
190,4,46,16,5.210527420043945,36.58528823474503,False,core.fusion.memory_projection.weight,20.305078506469727
191,4,47,32,5.337876319885254,8.864878315072104,False,core.recurrent_cell.weight_hh,4.612661838531494
192,4,48,16,5.0553131103515625,7.919595584599311,False,core.fusion.memory_projection.weight,3.9559309482574463
193,5,1,16,4.840770244598389,4.422445022526955,False,core.output_head.weight,2.7229654788970947
194,5,2,32,5.001320838928223,5.045525441675943,False,core.output_head.weight,2.7844648361206055
195,5,3,16,5.4561848640441895,21.827029894319455,False,core.fusion.memory_projection.weight,13.58277702331543
196,5,4,32,4.806613445281982,9.709528871634136,False,core.recurrent_cell.weight_hh,5.1793036460876465
197,5,5,16,4.8890910148620605,7.68106066884827,False,core.fusion.memory_projection.weight,4.164022445678711
198,5,6,32,5.3239850997924805,10.447276866191805,False,core.recurrent_cell.weight_hh,6.4544830322265625
199,5,7,16,5.1616387367248535,6.836054676988473,False,core.fusion.memory_projection.weight,3.6707730293273926
200,5,8,32,5.427586078643799,27.108440429689054,False,core.fusion.memory_projection.weight,16.090959548950195
201,5,9,16,5.130734920501709,122.63789260712826,True,core.fusion.memory_projection.weight,73.19049835205078
