schema_version,experiment_name,task,model,model_source,sequence_length,memory_budget,seed,config_path,config_sha256,checkpoint_path,checkpoint_resume_pass,stability_pass,mean_loss,token_accuracy,exact_match_accuracy,relevant_state_retention_rate,irrelevant_state_retention_rate,memory_precision,memory_recall,average_retention_duration,successful_long_range_retrievals,cache_turnover,eviction_errors,write_frequency,recent_state_overlap,expected_random_retention,max_memory_size,budget_pass,wall_seconds,cpu_user_seconds,cpu_system_seconds,peak_rss_mb,tokens_per_second,parameter_count,resource_measurement_pass,train_first_loss,train_final_loss,maximum_gradient_norm,budget
1.0,section15_pilot,selective_copy,budgetmem_r,src/budgetmem/models/budgetmem_r.py,512,16,2026,configs/experiments/pilot.yaml,2d0d68dfd73270c7bcb12f39067e5fd2ee9af07dd6d6f74784e4f85e83c4c24a,outputs/pilot/checkpoints/selective_copy/budgetmem_r/last.pt,True,True,6.180147806803386,0.0026041666666666665,0.0,0.15364583333333334,0.029307208994708994,0.07682291666666667,0.15364583333333334,361.15234375,0,1970,41,0.11140950520833333,0.024739583333333332,0.03125,16,True,11.36038915500103,11.099999999999994,0.45999999999999996,809.29296875,2163.306174171088,224283,True,5.502837091684341,4.748610347509384,0.0,16
1.0,section15_pilot,selective_copy,budgetmem_r,src/budgetmem/models/budgetmem_r.py,512,32,2026,configs/experiments/pilot.yaml,2d0d68dfd73270c7bcb12f39067e5fd2ee9af07dd6d6f74784e4f85e83c4c24a,outputs/pilot/checkpoints/selective_copy/budgetmem_r/last.pt,True,True,6.024303436279297,0.0078125,0.0,0.3359375,0.057953042328042326,0.08470775462962964,0.3359375,365.4578706727629,0,1112,32,0.1075439453125,0.034505208333333336,0.0625,32,True,14.548256654001307,14.269999999999996,0.4900000000000002,809.29296875,1689.274569763704,224283,True,5.502837091684341,4.748610347509384,0.0,32
1.0,section15_pilot,selective_copy,budgetmem_r,src/budgetmem/models/budgetmem_r.py,1024,16,2026,configs/experiments/pilot.yaml,2d0d68dfd73270c7bcb12f39067e5fd2ee9af07dd6d6f74784e4f85e83c4c24a,outputs/pilot/checkpoints/selective_copy/budgetmem_r/last.pt,True,True,5.8729158242543535,0.0026041666666666665,0.0,0.09375,0.01500984251968504,0.046875,0.09375,697.2552083333334,0,3068,44,0.07804361979166667,0.016927083333333332,0.015625,16,True,24.228613698003755,23.590000000000003,1.0899999999999999,937.06640625,2028.6757060330585,224283,True,5.502837091684341,4.748610347509384,0.0,16
1.0,section15_pilot,selective_copy,budgetmem_r,src/budgetmem/models/budgetmem_r.py,1024,32,2026,configs/experiments/pilot.yaml,2d0d68dfd73270c7bcb12f39067e5fd2ee9af07dd6d6f74784e4f85e83c4c24a,outputs/pilot/checkpoints/selective_copy/budgetmem_r/last.pt,True,True,6.093003352483113,0.0078125,0.0,0.2682291666666667,0.02930200131233596,0.06770833333333333,0.2682291666666667,744.9738903394256,0,2748,35,0.08707682291666667,0.021484375,0.03125,32,True,23.206077937000373,22.579999999999984,0.7900000000000009,937.58984375,2118.065798685903,224283,True,5.502837091684341,4.748610347509384,0.0,32
1.0,section15_pilot,associative_recall,gru,pilot_standard_gru,256,16,2026,configs/experiments/pilot.yaml,2d0d68dfd73270c7bcb12f39067e5fd2ee9af07dd6d6f74784e4f85e83c4c24a,outputs/pilot/checkpoints/associative_recall/gru/last.pt,True,True,5.594834327697754,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0,0.0,0.0,0.0625,0,True,0.0745747660039342,0.06999999999999318,0.009999999999999787,937.4140625,164774.2347505555,174720,True,5.2563086450099945,4.6742309629917145,0.0,16
1.0,section15_pilot,associative_recall,gru,pilot_standard_gru,256,32,2026,configs/experiments/pilot.yaml,2d0d68dfd73270c7bcb12f39067e5fd2ee9af07dd6d6f74784e4f85e83c4c24a,outputs/pilot/checkpoints/associative_recall/gru/last.pt,True,True,5.661933819452922,0.020833333333333332,0.020833333333333332,0.0,0.0,0.0,0.0,0.0,0,0,0,0.0,0.0,0.125,0,True,0.08403592000104254,0.07999999999998408,0.0,937.4140625,146223.18646416385,174720,True,5.2563086450099945,4.6742309629917145,0.0,32
1.0,section15_pilot,associative_recall,gru,pilot_standard_gru,512,16,2026,configs/experiments/pilot.yaml,2d0d68dfd73270c7bcb12f39067e5fd2ee9af07dd6d6f74784e4f85e83c4c24a,outputs/pilot/checkpoints/associative_recall/gru/last.pt,True,True,5.425023476282756,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0,0.0,0.0,0.03125,0,True,0.14866294500097865,0.15000000000000568,0.009999999999999787,937.4140625,165313.5554380294,174720,True,5.2563086450099945,4.6742309629917145,0.0,16
1.0,section15_pilot,associative_recall,gru,pilot_standard_gru,512,32,2026,configs/experiments/pilot.yaml,2d0d68dfd73270c7bcb12f39067e5fd2ee9af07dd6d6f74784e4f85e83c4c24a,outputs/pilot/checkpoints/associative_recall/gru/last.pt,True,True,5.444294452667236,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0,0.0,0.0,0.0625,0,True,0.13657277400488965,0.12999999999999545,0.0,937.4140625,179948.01803703656,174720,True,5.2563086450099945,4.6742309629917145,0.0,32
1.0,section15_pilot,associative_recall,gru,pilot_standard_gru,1024,16,2026,configs/experiments/pilot.yaml,2d0d68dfd73270c7bcb12f39067e5fd2ee9af07dd6d6f74784e4f85e83c4c24a,outputs/pilot/checkpoints/associative_recall/gru/last.pt,True,True,5.395430564880371,0.020833333333333332,0.020833333333333332,0.0,0.0,0.0,0.0,0.0,0,0,0,0.0,0.0,0.015625,0,True,0.2663471979976748,0.27000000000001023,0.0,937.4140625,184541.0816014257,174720,True,5.2563086450099945,4.6742309629917145,0.0,16
1.0,section15_pilot,associative_recall,gru,pilot_standard_gru,1024,32,2026,configs/experiments/pilot.yaml,2d0d68dfd73270c7bcb12f39067e5fd2ee9af07dd6d6f74784e4f85e83c4c24a,outputs/pilot/checkpoints/associative_recall/gru/last.pt,True,True,5.413755496342977,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0,0.0,0.0,0.03125,0,True,0.278755227001966,0.28000000000000114,0.009999999999999787,937.4140625,176326.738438714,174720,True,5.2563086450099945,4.6742309629917145,0.0,32
