schema_version,experiment_name,task,model,model_source,sequence_length,memory_budget,seed,config_path,config_sha256,checkpoint_path,checkpoint_resume_pass,stability_pass,mean_loss,token_accuracy,exact_match_accuracy,relevant_state_retention_rate,irrelevant_state_retention_rate,memory_precision,memory_recall,average_retention_duration,successful_long_range_retrievals,cache_turnover,eviction_errors,write_frequency,recent_state_overlap,expected_random_retention,max_memory_size,budget_pass,wall_seconds,cpu_user_seconds,cpu_system_seconds,peak_rss_mb,tokens_per_second,parameter_count,resource_measurement_pass,train_first_loss,train_final_loss,maximum_gradient_norm
1.0,section15_pilot_tuned,selective_copy,budgetmem_r,src/budgetmem/models/budgetmem_r.py,512,16,2026,configs/experiments/pilot_tuned.yaml,f912b31b7771f9640bc433b394e7ae776d80427ee64cc8a4d415670b58c1a66c,outputs/pilot_tuned/checkpoints/selective_copy/budgetmem_r/last.pt,True,False,5.506220857302348,0.009114583333333334,0.0,0.47265625,0.024243551587301584,0.236328125,0.47265625,483.0572916666667,0,4702,51,0.12691243489583334,0.011067708333333334,0.03125,16,True,24.811095930999727,24.290000000000873,0.8400000000000034,1044.890625,1981.0491296592836,224283,True,5.4044070939222975,4.897789080937703,215.0259552001953
1.0,section15_pilot_tuned,selective_copy,budgetmem_r,src/budgetmem/models/budgetmem_r.py,512,32,2026,configs/experiments/pilot_tuned.yaml,f912b31b7771f9640bc433b394e7ae776d80427ee64cc8a4d415670b58c1a66c,outputs/pilot_tuned/checkpoints/selective_copy/budgetmem_r/last.pt,True,False,5.561220685640971,0.0013020833333333333,0.0,0.8763020833333334,0.049582506613756606,0.21907552083333334,0.8763020833333334,475.9674479166667,0,2373,12,0.11077880859375,0.005859375,0.0625,32,True,24.443113465999886,23.8799999999992,0.8700000000000045,1044.890625,2010.8731266321663,224283,True,5.4044070939222975,4.897789080937703,215.0259552001953
1.0,section15_pilot_tuned,selective_copy,budgetmem_r,src/budgetmem/models/budgetmem_r.py,1024,16,2026,configs/experiments/pilot_tuned.yaml,f912b31b7771f9640bc433b394e7ae776d80427ee64cc8a4d415670b58c1a66c,outputs/pilot_tuned/checkpoints/selective_copy/budgetmem_r/last.pt,True,False,5.459161480267842,0.00390625,0.0,0.4557291666666667,0.01215961286089239,0.22786458333333334,0.4557291666666667,965.5384114583334,0,5785,52,0.07447306315104167,0.008463541666666666,0.015625,16,True,50.68880650100073,48.63000000000011,2.6299999999999955,1113.2109375,1939.363082025994,224283,True,5.4044070939222975,4.897789080937703,215.0259552001953
1.0,section15_pilot_tuned,selective_copy,budgetmem_r,src/budgetmem/models/budgetmem_r.py,1024,32,2026,configs/experiments/pilot_tuned.yaml,f912b31b7771f9640bc433b394e7ae776d80427ee64cc8a4d415670b58c1a66c,outputs/pilot_tuned/checkpoints/selective_copy/budgetmem_r/last.pt,True,False,5.525725682576497,0.006510416666666667,0.0,0.8684895833333334,0.024657562335958005,0.21712239583333334,0.8684895833333334,963.431640625,0,3773,13,0.06963094075520833,0.00390625,0.03125,32,True,48.8832769189994,47.98999999999978,1.480000000000004,1113.2109375,2010.9944790094935,224283,True,5.4044070939222975,4.897789080937703,215.0259552001953
1.0,section15_pilot_tuned,associative_recall,gru,pilot_standard_gru,256,16,2026,configs/experiments/pilot_tuned.yaml,f912b31b7771f9640bc433b394e7ae776d80427ee64cc8a4d415670b58c1a66c,outputs/pilot_tuned/checkpoints/associative_recall/gru/last.pt,True,True,5.386306802431743,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0,0.0,0.0,0.0625,0,True,0.1617503530005706,0.15999999999985448,0.0,1112.9453125,151937.84461115397,174720,True,5.27084235350291,4.880952745676041,1.6713074445724487
1.0,section15_pilot_tuned,associative_recall,gru,pilot_standard_gru,256,32,2026,configs/experiments/pilot_tuned.yaml,f912b31b7771f9640bc433b394e7ae776d80427ee64cc8a4d415670b58c1a66c,outputs/pilot_tuned/checkpoints/associative_recall/gru/last.pt,True,True,5.408723632494609,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0,0.0,0.0,0.125,0,True,0.16229114700036007,0.17000000000007276,0.0,1112.9453125,151431.55036020218,174720,True,5.27084235350291,4.880952745676041,1.6713074445724487
1.0,section15_pilot_tuned,associative_recall,gru,pilot_standard_gru,512,16,2026,configs/experiments/pilot_tuned.yaml,f912b31b7771f9640bc433b394e7ae776d80427ee64cc8a4d415670b58c1a66c,outputs/pilot_tuned/checkpoints/associative_recall/gru/last.pt,True,True,5.338545719782512,0.03125,0.03125,0.0,0.0,0.0,0.0,0.0,0,0,0,0.0,0.0,0.03125,0,True,0.302848315999654,0.2999999999992724,0.010000000000005116,1112.9453125,162299.06987515214,174720,True,5.27084235350291,4.880952745676041,1.6713074445724487
1.0,section15_pilot_tuned,associative_recall,gru,pilot_standard_gru,512,32,2026,configs/experiments/pilot_tuned.yaml,f912b31b7771f9640bc433b394e7ae776d80427ee64cc8a4d415670b58c1a66c,outputs/pilot_tuned/checkpoints/associative_recall/gru/last.pt,True,True,5.291052619616191,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0,0.0,0.0,0.0625,0,True,0.31681670199941436,0.32999999999992724,0.0,1112.9453125,155143.3358462612,174720,True,5.27084235350291,4.880952745676041,1.6713074445724487
1.0,section15_pilot_tuned,associative_recall,gru,pilot_standard_gru,1024,16,2026,configs/experiments/pilot_tuned.yaml,f912b31b7771f9640bc433b394e7ae776d80427ee64cc8a4d415670b58c1a66c,outputs/pilot_tuned/checkpoints/associative_recall/gru/last.pt,True,True,5.277635931968689,0.010416666666666666,0.010416666666666666,0.0,0.0,0.0,0.0,0.0,0,0,0,0.0,0.0,0.015625,0,True,0.6033491550006147,0.6099999999996726,0.010000000000005116,1112.9453125,162930.53397895262,174720,True,5.27084235350291,4.880952745676041,1.6713074445724487
1.0,section15_pilot_tuned,associative_recall,gru,pilot_standard_gru,1024,32,2026,configs/experiments/pilot_tuned.yaml,f912b31b7771f9640bc433b394e7ae776d80427ee64cc8a4d415670b58c1a66c,outputs/pilot_tuned/checkpoints/associative_recall/gru/last.pt,True,True,5.343738277753194,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0,0.0,0.0,0.03125,0,True,0.585410862999197,0.5900000000001455,0.0,1112.9453125,167923.08823304984,174720,True,5.27084235350291,4.880952745676041,1.6713074445724487
